,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain last hr,Snow last hr
0,Cruz Alta,-28.64,-53.61,43.41,89,0,12.28,BR,2020-06-28 01:49:27,clear sky,0.0,0.0
1,Hobart,-42.88,147.33,48.2,70,0,8.05,AU,2020-06-28 01:49:28,clear sky,0.0,0.0
2,Tuatapere,-46.13,167.68,48.56,93,100,5.06,NZ,2020-06-28 01:49:28,light rain,0.58,0.0
3,Lebu,-37.62,-73.65,50.92,91,100,19.13,CL,2020-06-28 01:49:28,moderate rain,2.07,0.0
4,Tasiilaq,65.61,-37.64,39.2,93,100,4.7,GL,2020-06-28 01:49:28,light rain,0.0,0.0
5,Mehamn,71.04,27.85,43.79,84,100,14.14,NO,2020-06-28 01:49:28,overcast clouds,0.0,0.0
6,Havre,49.58,0.33,59.0,82,100,20.8,FR,2020-06-28 01:49:28,overcast clouds,0.0,0.0
7,Hermanus,-34.42,19.23,59.0,72,46,8.01,ZA,2020-06-28 01:49:28,light rain,0.17,0.0
8,Ixtapa,20.7,-105.2,86.0,70,75,6.93,MX,2020-06-28 01:49:28,broken clouds,0.0,0.0
9,Ribeira Grande,38.52,-28.7,66.94,94,95,7.11,PT,2020-06-28 01:49:28,overcast clouds,0.0,0.0
10,Leningradskiy,69.38,178.42,32.23,98,100,8.84,RU,2020-06-28 01:49:28,snow,0.0,0.68
11,Tanhacu,-14.02,-41.25,68.86,87,10,5.48,BR,2020-06-28 01:49:28,clear sky,0.0,0.0
12,Coquimbo,-29.95,-71.34,55.4,82,100,6.93,CL,2020-06-28 01:49:28,overcast clouds,0.0,0.0
13,Ushuaia,-54.8,-68.3,35.6,59,20,18.34,AR,2020-06-28 01:49:28,few clouds,0.0,0.0
14,Arlit,18.74,7.39,90.48,14,0,11.18,NE,2020-06-28 01:49:28,clear sky,0.0,0.0
15,Jamestown,42.1,-79.24,69.8,83,20,9.17,US,2020-06-28 01:47:12,few clouds,0.0,0.0
16,Port Shepstone,-30.74,30.45,63.32,51,0,8.68,ZA,2020-06-28 01:49:28,clear sky,0.0,0.0
17,San Cristobal,7.77,-72.22,65.91,87,20,2.26,VE,2020-06-28 01:47:00,few clouds,0.0,0.0
18,Port Elizabeth,-33.92,25.57,57.2,71,75,26.4,ZA,2020-06-28 01:49:28,broken clouds,0.0,0.0
19,Geraldton,-28.77,114.6,69.8,73,75,14.99,AU,2020-06-28 01:44:31,broken clouds,0.0,0.0
20,Bluff,-46.6,168.33,49.48,94,100,9.82,NZ,2020-06-28 01:49:28,light rain,0.11,0.0
21,Upernavik,72.79,-56.15,38.46,85,16,9.24,GL,2020-06-28 01:49:28,few clouds,0.0,0.0
22,Souillac,-20.52,57.52,71.6,83,40,11.41,MU,2020-06-28 01:49:29,scattered clouds,0.0,0.0
23,Nikolskoye,59.7,30.79,66.2,77,40,4.47,RU,2020-06-28 01:49:29,scattered clouds,0.0,0.0
