,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
8,Ixtapa,MX,86.0,20.7,-105.2,broken clouds,Container Inn Puerto Vallarta
24,Kapaa,US,84.2,22.08,-159.32,few clouds,Sheraton Kauai Resort at Coconut Beach
26,Khatanga,RU,77.79,71.97,102.5,overcast clouds,"Gostinitsa ""Zapolyar'ye"""
27,Faanui,PF,76.68,-16.48,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
28,Manavalakurichi,IN,78.8,8.13,77.3,mist,Udaya Boys Hostel
31,Buala,SB,83.61,-8.14,159.59,overcast clouds,Maringe Lagoon Lodge
33,Avarua,CK,75.2,-21.21,-159.78,clear sky,Paradise Inn
34,Lazaro Cardenas,MX,81.61,17.96,-102.2,overcast clouds,Hotel Quinta Antigua
36,Sosua,DO,82.99,19.77,-70.52,overcast clouds,Piergiorgio Palace Hotel
42,Dongying,CN,89.78,37.46,118.49,broken clouds,Wanda Realm
45,Ojinaga,MX,89.6,29.57,-104.42,clear sky,Suites Las Palmas
47,Xianshuigu,CN,84.2,38.98,117.38,overcast clouds,Guangchuan Hotel
49,Chabahar,IR,87.8,25.29,60.64,haze,هتل گدروشیا
52,Mahibadhoo,MV,83.21,3.78,72.97,scattered clouds,Omadhoo Inn
54,Mizdah,LY,76.24,31.45,12.98,clear sky,محمدالمبروك الاريقط
58,Pemangkat,ID,77.77,1.17,108.97,overcast clouds,Kost H.Syamsuddin
65,Vaini,TO,78.8,-21.2,-175.2,scattered clouds,Keleti Beach Resort
68,Borogontsy,RU,88.32,62.67,131.17,few clouds,
70,Nushki,PK,85.1,29.55,66.02,few clouds,Bismillah Motor shoroom
74,Abreus,CU,84.2,22.28,-80.57,broken clouds,
81,Cayenne,GF,77.0,4.93,-52.33,overcast clouds,Hôtel Le Dronmi
82,Nicolas Bravo,MX,75.56,18.45,-88.92,clear sky,
84,Atambua,ID,81.9,-9.11,124.89,clear sky,Pondok Pesantren Al Muhajirin Atambua
87,Zhigansk,RU,77.81,66.77,123.37,clear sky,Gostinichnyy Kompleks Aylgy
97,Isangel,VU,77.0,-19.55,169.27,scattered clouds,Volcano Sea View Tree House
102,Padang,ID,83.57,-0.95,100.35,scattered clouds,Mercure Padang
110,Palembang,ID,80.65,-2.92,104.75,clear sky,Aston Palembang Hotel & Conference Center
112,Turukhansk,RU,80.28,65.82,87.98,clear sky,"ООО ""Туруханская пушнина"""
114,Mareeba,AU,78.8,-17.0,145.43,broken clouds,Trinity Plains Tourist Park
116,Mayo,US,75.2,38.89,-76.51,clear sky,Resorts Resource Group International
117,Brookhaven,US,80.01,31.58,-90.44,overcast clouds,Americas Best Value Inn Brookhaven
118,Alofi,NU,78.8,-19.06,-169.92,overcast clouds,Taloa Heights
119,Kununurra,AU,80.6,-15.77,128.73,overcast clouds,Hotel Kununurra
124,Georgetown,MY,84.2,5.41,100.34,few clouds,Cititel Penang
126,Kattivakkam,IN,86.0,13.22,80.32,scattered clouds,St. Joseph Thirumana mandapam
127,Bathsheba,BB,82.4,13.22,-59.52,scattered clouds,Atlantis Hotel
128,Batagay-Alyta,RU,79.34,67.8,130.41,clear sky,
130,Manokwari,ID,83.37,-0.87,134.08,broken clouds,Swiss Belhotel Manokwari
132,Carbunari,RO,77.0,44.83,21.74,clear sky,Cabana Seismologica Susara
135,Victoria,HK,90.0,22.29,114.16,broken clouds,Mini Hotel Central
137,Bilma,NE,84.42,18.69,12.92,clear sky,Expeditions Ténére voyages
143,Labuhan,ID,80.92,-6.88,112.21,clear sky,bador sepret
144,San Patricio,MX,87.8,19.22,-104.7,scattered clouds,Hotel Cabo Blanco
145,Hamilton,US,75.99,39.18,-84.53,scattered clouds,Six Acres Bed & Breakfast
146,Ati,TD,88.3,13.22,18.34,clear sky,
153,Santiago Tuxtla,MX,75.2,18.47,-95.3,clear sky,OYO Hotel Santiago Plaza
162,Sterling,US,79.0,39.01,-77.43,overcast clouds,Hampton Inn & Suites Washington-Dulles International Airport
164,Butaritari,KI,82.71,3.07,172.79,scattered clouds,Isles Sunset Lodge
165,Hobyo,SO,77.76,5.35,48.53,scattered clouds,Osmani Hotel
168,Sokoni,TZ,75.2,-6.43,39.55,broken clouds,Ujamaa Beach Resort
174,Zalantun,CN,77.2,48.0,122.72,broken clouds,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
175,Nabire,ID,86.11,-3.37,135.48,overcast clouds,Hotel Nusantara Nabire
176,Tanout,NE,88.5,14.97,8.89,clear sky,
179,Hilo,US,82.4,19.73,-155.09,scattered clouds,Hilo Hawaiian Hotel
183,Pangai,TO,77.63,-19.8,-174.35,scattered clouds,Ha'apai Beach Resort
185,Miri,MY,78.8,4.41,114.01,scattered clouds,"Mega Hotel, Miri"
187,Dwarka,IN,86.59,22.24,68.97,overcast clouds,Hotel Narayan Avezika Comfort
197,Lorengau,PG,85.35,-2.02,147.27,broken clouds,Lorengau Harbourside Hotel
201,Tautira,PF,82.4,-17.73,-149.15,few clouds,Pension Oaoa
212,Tecoanapa,MX,81.77,16.52,-98.75,scattered clouds,Hotel Manglares
213,Mana,GF,77.72,5.66,-53.78,overcast clouds,LE SAMANA
216,The Valley,AI,84.2,18.22,-63.06,scattered clouds,CeBlue Villas & Beach Resort
217,Dennery,LC,84.2,13.9,-60.89,few clouds,The Fox Grove Inn
220,Xiamen,CN,89.6,24.48,118.08,few clouds,厦门马哥孛罗东方大酒店
221,Karratha,AU,77.36,-20.74,116.85,clear sky,ibis Styles Karratha
223,Nieuw Amsterdam,SR,79.0,5.88,-55.08,overcast clouds,Hotel Stardust
224,Paungde,MM,79.74,18.48,95.5,overcast clouds,Shwe Eain Matt highly cool guest house
228,Cedar City,US,87.8,37.68,-113.06,clear sky,Hampton Inn Cedar City
229,Tambilil,PH,82.4,5.96,124.67,scattered clouds,Wilfredo Sotto Home
233,Alyangula,AU,80.6,-13.85,136.42,broken clouds,Groote Eylandt Lodge
235,Champerico,GT,82.24,14.3,-91.92,broken clouds,"Hotel y restaurante ""El Diamante"""
238,Sulphur Springs,US,86.0,33.14,-95.6,clear sky,Clarion Pointe by Choice Hotels Sulphur Springs
239,Ust-Ilimsk,RU,79.65,58.0,102.66,scattered clouds,Alenat Tsentr
242,Waingapu,ID,82.27,-9.66,120.26,few clouds,Pondok Wisata Elim
246,Tomatlan,MX,80.15,19.93,-105.25,scattered clouds,Norma franco
