City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2020-06-21 22:41:20,-42.88,147.33,53.6,93,75,10.29
1,Airai,TL,2020-06-21 22:43:30,-8.93,125.41,58.42,91,79,3.94
2,Punta Arenas,CL,2020-06-21 22:42:32,-53.15,-70.92,35.6,93,75,8.05
3,Rikitea,PF,2020-06-21 22:43:31,-23.12,-134.97,70.75,66,85,16.22
4,Kholm,RU,2020-06-21 22:43:31,59.27,32.85,50.22,79,0,3.8
5,Ushuaia,AR,2020-06-21 22:43:31,-54.8,-68.3,35.6,80,31,5.82
6,Brainerd,US,2020-06-21 22:40:04,46.36,-94.2,75.2,44,90,13.87
7,Bhag,PK,2020-06-21 22:43:31,29.04,67.82,95.0,30,0,2.68
8,Saskylakh,RU,2020-06-21 22:42:44,71.92,114.08,57.22,59,73,9.37
9,Dikson,RU,2020-06-21 22:43:31,73.51,80.55,43.39,79,66,12.73
10,Chuy,UY,2020-06-21 22:43:31,-33.7,-53.46,59.02,94,78,7.14
11,Rudnogorsk,RU,2020-06-21 22:43:31,57.26,103.75,63.41,67,19,3.13
12,Faanui,PF,2020-06-21 22:43:02,-16.48,-151.75,78.01,82,94,22.32
13,Vila Velha,BR,2020-06-21 22:42:42,-20.33,-40.29,73.4,83,0,3.36
14,Hermanus,ZA,2020-06-21 22:43:31,-34.42,19.23,55.0,93,54,1.99
15,Axim,GH,2020-06-21 22:43:13,4.87,-2.24,77.16,86,99,11.61
16,Thompson,CA,2020-06-21 22:42:49,55.74,-97.86,59.0,87,90,8.05
17,Broome,US,2020-06-21 22:39:17,42.25,-75.83,82.99,54,1,6.93
18,Mataura,NZ,2020-06-21 22:42:35,-46.19,168.86,39.0,83,0,3.0
19,Kodiak,US,2020-06-21 22:43:31,57.79,-152.41,53.6,81,90,11.41
20,Bethel,US,2020-06-21 22:43:31,41.37,-73.41,86.0,48,1,4.7
21,Georgetown,MY,2020-06-21 22:43:31,5.41,100.34,80.6,100,20,2.24
22,Huilong,CN,2020-06-21 22:40:13,31.81,121.66,73.99,92,93,1.99
23,Tuatapere,NZ,2020-06-21 22:43:32,-46.13,167.68,39.0,83,0,3.0
24,Provideniya,RU,2020-06-21 22:42:34,64.38,-173.3,57.2,62,3,8.95
25,Qaanaaq,GL,2020-06-21 22:42:43,77.48,-69.36,39.29,72,32,4.05
26,Sandwick,GB,2020-06-21 22:43:32,60.0,-1.25,51.8,93,16,4.7
27,Clyde River,CA,2020-06-21 22:43:32,70.47,-68.59,46.4,70,1,3.36
28,Busselton,AU,2020-06-21 22:39:09,-33.65,115.33,59.0,56,39,21.88
29,Avarua,CK,2020-06-21 22:42:29,-21.21,-159.78,77.0,61,98,14.99
30,Rawson,AR,2020-06-21 22:43:32,-43.3,-65.1,50.05,49,70,6.55
31,Albany,US,2020-06-21 22:42:45,42.6,-73.97,90.0,54,46,4.59
32,Donskoye,RU,2020-06-21 22:43:32,45.46,41.97,64.4,82,40,11.18
33,Mahon,ES,2020-06-21 22:43:32,39.89,4.27,68.0,77,0,4.7
34,Port Lincoln,AU,2020-06-21 22:43:25,-34.73,135.87,55.24,80,9,14.09
35,Leh,IN,2020-06-21 22:43:32,34.17,77.58,50.4,45,0,5.73
36,Atuona,PF,2020-06-21 22:43:32,-9.8,-139.03,80.2,66,0,9.55
37,Gladstone,AU,2020-06-21 22:43:32,-23.85,151.25,59.0,87,5,5.82
38,Kununurra,AU,2020-06-21 22:43:32,-15.77,128.73,71.6,37,0,10.29
39,Seoul,KR,2020-06-21 22:40:41,37.57,126.98,73.4,88,0,4.7
40,San Policarpo,PH,2020-06-21 22:43:32,12.18,125.51,83.61,77,81,8.03
41,Krasnyy Kommunar,RU,2020-06-21 22:43:32,51.96,55.37,53.6,62,51,13.42
42,Pevek,RU,2020-06-21 22:42:46,69.7,170.31,45.68,76,17,6.4
43,Homer,US,2020-06-21 22:43:32,59.64,-151.55,59.0,54,90,9.17
44,Castro,BR,2020-06-21 22:40:11,-24.79,-50.01,58.51,84,0,2.86
45,Luderitz,NA,2020-06-21 22:42:30,-26.65,15.16,51.8,93,0,1.12
46,Bengkulu,ID,2020-06-21 22:39:45,-3.8,102.27,75.58,89,95,4.7
47,Saldanha,ZA,2020-06-21 22:43:33,-33.01,17.94,51.8,93,35,1.12
48,Igarka,RU,2020-06-21 22:43:33,67.47,86.58,53.64,57,94,15.52
49,Upernavik,GL,2020-06-21 22:43:33,72.79,-56.15,41.72,67,100,4.81
50,Lethem,GY,2020-06-21 22:43:33,3.38,-59.8,77.61,86,98,5.32
51,Cidreira,BR,2020-06-21 22:43:33,-30.18,-50.21,70.38,75,57,6.69
52,Arraial Do Cabo,BR,2020-06-21 22:43:33,-22.97,-42.03,74.23,84,0,18.23
53,Talaya,RU,2020-06-21 22:43:33,61.38,152.75,72.41,27,41,4.03
54,Atar,MR,2020-06-21 22:43:33,20.52,-13.05,100.24,11,76,12.55
55,Barrow,US,2020-06-21 22:43:33,71.29,-156.79,39.2,86,90,13.87
56,Auki,SB,2020-06-21 22:43:33,-8.77,160.7,84.81,69,67,2.53
57,Conceicao Da Barra,BR,2020-06-21 22:42:17,-18.59,-39.73,69.51,79,0,3.13
58,Ondjiva,AO,2020-06-21 22:43:33,-17.07,15.73,52.25,45,0,4.32
59,Belaya Gora,RU,2020-06-21 22:43:33,68.53,146.42,89.17,18,0,3.11
60,Vaini,TO,2020-06-21 22:43:33,-21.2,-175.2,77.0,94,75,9.17
61,Bubaque,GW,2020-06-21 22:43:33,11.28,-15.83,81.61,86,59,14.72
62,Guerrero Negro,MX,2020-06-21 22:43:33,27.98,-114.06,71.71,55,0,19.69
63,Araouane,ML,2020-06-21 22:43:33,18.9,-3.53,98.31,9,0,6.96
64,Vallenar,CL,2020-06-21 22:39:55,-28.57,-70.76,66.79,45,0,1.86
65,Karwar,IN,2020-06-21 22:43:33,14.8,74.13,79.63,84,95,6.51
66,Chinchani,IN,2020-06-21 22:43:34,19.87,72.7,81.9,83,60,11.34
67,Xam Nua,LA,2020-06-21 22:43:34,20.42,104.04,69.33,85,86,2.93
68,Kapaa,US,2020-06-21 22:43:34,22.08,-159.32,84.2,66,40,14.99
69,Butaritari,KI,2020-06-21 22:42:34,3.07,172.79,83.68,79,56,14.47
70,Cabo Rojo,PR,2020-06-21 22:43:34,18.09,-67.15,88.0,69,20,1.99
71,Manacapuru,BR,2020-06-21 22:43:34,-3.3,-60.62,86.0,66,20,5.82
72,Khatanga,RU,2020-06-21 22:43:34,71.97,102.5,62.92,55,87,9.57
73,Zhanaozen,KZ,2020-06-21 22:43:34,43.3,52.8,81.57,16,87,17.85
74,Ostrovnoy,RU,2020-06-21 22:43:34,68.05,39.51,54.86,70,99,8.28
75,Victoria,HK,2020-06-21 22:39:10,22.29,114.16,86.0,74,99,11.01
76,Quatre Cocos,MU,2020-06-21 22:43:34,-20.21,57.76,70.0,83,40,10.29
77,Touros,BR,2020-06-21 22:43:34,-5.2,-35.46,75.2,88,0,3.36
78,Phangnga,TH,2020-06-21 22:43:34,8.45,98.53,75.2,94,40,4.7
79,Izazi,TZ,2020-06-21 22:43:34,-7.2,35.73,60.8,72,5,9.17
80,Ponta Do Sol,PT,2020-06-21 22:42:29,32.67,-17.1,69.8,68,40,13.87
81,Lima Duarte,BR,2020-06-21 22:43:34,-21.84,-43.79,62.02,90,14,3.02
82,Bredasdorp,ZA,2020-06-21 22:42:39,-34.53,20.04,55.4,93,68,4.16
83,Constitucion,CL,2020-06-21 22:43:34,-35.33,-72.42,50.97,78,64,2.68
84,Yerbogachen,RU,2020-06-21 22:43:34,61.28,108.01,69.8,56,42,3.74
85,Nanortalik,GL,2020-06-21 22:43:34,60.14,-45.24,45.18,71,100,10.67
86,Marrakesh,MA,2020-06-21 22:43:34,31.63,-8.01,80.6,42,0,8.05
87,Mehamn,NO,2020-06-21 22:43:35,71.04,27.85,44.8,82,38,12.97
88,Hambantota,LK,2020-06-21 22:43:35,6.12,81.12,80.6,88,40,9.17
89,Prainha,BR,2020-06-21 22:43:35,-1.8,-53.48,75.11,93,100,4.23
90,Pitimbu,BR,2020-06-21 22:43:35,-7.47,-34.81,77.0,83,40,5.82
91,Hovd,MN,2020-06-21 22:43:35,48.01,91.64,45.3,53,85,2.93
92,Grand Gaube,MU,2020-06-21 22:42:45,-20.01,57.66,70.0,82,46,8.01
93,Kloulklubed,PW,2020-06-21 22:43:04,7.04,134.26,78.8,88,75,9.17
94,Arlit,NE,2020-06-21 22:43:35,18.74,7.39,93.72,9,72,4.9
95,Vung Tau,VN,2020-06-21 22:40:02,10.35,107.08,83.14,81,98,7.45
96,Nagua,DO,2020-06-21 22:43:35,19.38,-69.85,82.4,88,40,8.1
97,Keti Bandar,PK,2020-06-21 22:43:35,24.14,67.45,86.13,77,69,15.03
98,Kupang,ID,2020-06-21 22:43:35,-10.17,123.58,77.0,78,20,11.41
99,Carnarvon,AU,2020-06-21 22:43:35,-24.87,113.63,57.2,82,0,6.93
100,Ribeira Grande,PT,2020-06-21 22:42:47,38.52,-28.7,66.25,88,2,13.82
101,Bluff,NZ,2020-06-21 22:43:35,-46.6,168.33,39.0,83,0,3.0
102,Tasiilaq,GL,2020-06-21 22:42:33,65.61,-37.64,53.6,62,100,6.93
